INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 49200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [-1.648203973860975, -0.8455879061870042, -1.1523903140039056, 0.5774083441677309, -2.4247753605919593, 1.4345167296798795, 0.8359340082566358, 1.7717441120057087, -1.821887158946352, -1.6271476050242373]
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [9, 12, 11, 15, 16, 15, 13, 7, 10, 5], "hlc": [921531, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [9, 12, 11, 17, 16, 16, 13, 7, 10, 13], "hlc": [921531, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [8, 16, 9, 13, 11, 9, 14, 7, 7, 10], "hlc": [921530, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [11, 6, 10, 15, 7, 10, 8, 11, 11, 9], "hlc": [921531, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [8, 18, 9, 13, 11, 14, 13, 7, 7, 10], "hlc": [921530, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [2, 12, 14, 9, 8, 12, 11, 7, 7, 5], "hlc": [921530, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [13, 15, 11, 20, 14, 10, 12, 7, 7, 10], "hlc": [921530, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [8, 16, 9, 13, 11, 9, 15, 7, 7, 10], "hlc": [921530, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [11, 4, 6, 1, 7, 10, 7, 12, 4, 9], "hlc": [921531, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [11, 6, 10, 15, 7, 10, 8, 11, 12, 9], "hlc": [921531, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [14, 18, 9, 13, 11, 14, 13, 7, 7, 10], "hlc": [921530, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [15, 18, 11, 20, 14, 14, 13, 7, 7, 10], "hlc": [921530, 7]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [11, 12, 15, 9, 8, 12, 11, 12, 7, 9], "hlc": [921531, 3]}
